Company Name,Company Category,Date,Resolution Status,Rating (out of 10),original,Deceptive Patterns,Type
Temu Portugal,International Marketplaces,10/24/2024,Resolved,5,"Tired of complaining to Temu; they don’t return the money, so I end up keeping the product and losing my money.",0,0
Temu Portugal,International Marketplaces,11/20/2024,Resolved,5,"Damaged products, unable to upload videos, and Temu ignores all my requests.",0,0
Temu Portugal,International Marketplaces,11/18/2024,Resolved,7,"Order not delivered, inadequate support from Temu.",0,0
Temu Portugal,International Marketplaces,6/11/2024,Unresolved,1,Order marked as delivered but never received. Attempts to resolve the issue have been unsuccessful.,0,0
Temu Portugal,International Marketplaces,2/11/2024,Resolved,9,"Order delayed, received €5 cashback as compensation; one item was missing when the order finally arrived.",0,0
Temu Portugal,International Marketplaces,10/30/2024,Resolved,10,"Paid for an order but didn’t receive it. Customs clearance was completed, and delivery was pending for a long time.",0,0
Temu Portugal,International Marketplaces,10/27/2024,Unresolved,1,"Order supposedly delivered, but I never received it.",0,0
Temu Portugal,International Marketplaces,10/15/2024,Resolved,7,"Delivery deadlines are rarely met by Temu, leading to dissatisfaction.",0,0
Temu Portugal,International Marketplaces,10/14/2024,Resolved,6,"Placed two orders and paid immediately, but received no updates or confirmations via email.",0,0
Temu Portugal,International Marketplaces,10/14/2024,Resolved,8,Delivery delay despite customs clearance being completed.,0,0
Temu Portugal,International Marketplaces,10/13/2024,Resolved,6,"Payment was processed, but the order wasn’t sent.",0,0
Temu Portugal,International Marketplaces,12/10/2024,Resolved,7,"Order made on September 15, with delivery promised by October 7, but there was no progress or updates for a long time.",0,0
Temu Portugal,International Marketplaces,8/10/2024,Resolved,1,Requested a refund but never received it.,0,0
Temu Portugal,International Marketplaces,10/25/2024,Resolved,7,"Missing products in the order, some items were outside the package and damaged.",0,0
Temu Portugal,International Marketplaces,10/25/2024,Resolved,10,Missing poster set from the order.,0,0
Temu Portugal,International Marketplaces,10/17/2024,Resolved,10,Complaints about tracking issues with TEMU orders.,0,0
Temu Portugal,International Marketplaces,10/13/2024,Resolved,1,"Order not delivered on time, lack of commitment from TEMU.",0,0
Temu Portugal,International Marketplaces,12/9/2024,Resolved,10,Incorrect order and reissue of credit that didn't work for further purchases.,0,0
Temu Portugal,International Marketplaces,11/9/2024,Resolved,3,"Refund not received after cancellation, poor customer service.",0,0
Temu Portugal,International Marketplaces,9/9/2024,Unresolved,10,"No refund received for cancelled order, customer claims TEMU is at fault.",0,0
Temu Portugal,International Marketplaces,8/9/2024,Unresolved,1,"Issue with payment and non-delivery, unclear customer service responses.",0,0
Temu Portugal,International Marketplaces,8/24/2024,Resolved,5,"Non-delivery of two orders, despite payment.",0,0
Temu Portugal,International Marketplaces,8/21/2024,Resolved,10,"Order marked as failed delivery, customer was home during the supposed failed delivery attempt.",0,0
Temu Portugal,International Marketplaces,8/20/2024,Resolved,9,"Delivery marked as failed, customer was at home when the event occurred.",0,0
Temu Portugal,International Marketplaces,8/13/2024,Resolved,1,Constant delivery delays.,0,0
Temu Portugal,International Marketplaces,10/8/2024,Resolved,9,"Order cancelled after payment, refund issue, but payment was deducted.",0,0
Temu Portugal,International Marketplaces,6/8/2024,Unresolved,1,"Invoice did not include buyer's identification, request for correction.",0,0
Temu Portugal,International Marketplaces,5/8/2024,Resolved,3,Dissatisfaction with payment process.,0,0
Temu Portugal,International Marketplaces,5/8/2024,Resolved,1,Payment made but order not delivered within the expected timeframe.,0,0
Temu Portugal,International Marketplaces,5/8/2024,Resolved,1,Claim of non-receipt of delivery.,0,0
Temu Portugal,International Marketplaces,7/27/2024,Resolved,1,Refund not processed for returned items.,0,0
Temu Portugal,International Marketplaces,7/25/2024,Resolved,8,"Concerns over honesty in business practices, lost items and no refunds.",0,0
Temu Portugal,International Marketplaces,7/15/2024,Resolved,9,Difficulty with refund on a purchase that had an issue post-payment.,0,0
Temu Portugal,International Marketplaces,7/13/2024,Resolved,10,"Delay in delivery of baby clothes, customer satisfaction with the overall purchase experience.",0,0
Temu Portugal,International Marketplaces,6/28/2024,Resolved,4,"Order not delivered, no feedback after the deadline.",0,0
Temu Portugal,International Marketplaces,6/19/2024,Unresolved,1,"Multiple delayed orders, partial resolution of one order.",0,0
Temu Portugal,International Marketplaces,6/17/2024,Resolved,5,Issues with refund and returns of 5 items.,0,0
Temu Portugal,International Marketplaces,6/14/2024,Resolved,10,Delivery failed despite confirmation; no delivery after staying home all day.,0,0
Temu Portugal,International Marketplaces,6/12/2024,Unresolved,1,"Delay in delivery, no further updates on late orders.",0,0
Temu Portugal,International Marketplaces,6/11/2024,Resolved,9,"Order never arrived, no tracking or confirmation found.",0,0
Temu Portugal,International Marketplaces,6/11/2024,Resolved,7,"Received partial order, but billed for the full order.",0,0
Temu Portugal,International Marketplaces,6/7/2024,Resolved,6,Ordered item not processed despite payment confirmation.,0,0
Temu Portugal,International Marketplaces,6/5/2024,Resolved,10,"Ordered items never arrived, both orders were delayed.",0,0
Temu Portugal,International Marketplaces,5/29/2024,Resolved,9,"Payment completed, but items never dispatched.",0,0
Temu Portugal,International Marketplaces,5/16/2024,Unresolved,2,"Return and refund requests ignored, missing items.",0,0
Temu Portugal,International Marketplaces,5/14/2024,Resolved,7,"Suspected fraud, questioned purchasing practices.",0,0
Temu Portugal,International Marketplaces,5/14/2024,Resolved,4,"Items not delivered on time, customer support failed to respond.",0,0
Temu Portugal,International Marketplaces,5/13/2024,Resolved,2,Miscommunication and failure to deliver orders within promised time.,0,0
Temu Portugal,International Marketplaces,5/11/2024,Unresolved,1,Fraudulent billing after order cancellation.,0,0
Temu Portugal,International Marketplaces,5/8/2024,Resolved,7,Delivery failed; courier passed by without delivering.,0,0
Temu Portugal,International Marketplaces,4/27/2024,Unresolved,1,Opened package contained missing items; no solution.,0,0
Temu Portugal,International Marketplaces,4/24/2024,Resolved,4,Issues with customs tariffs not disclosed during purchase.,0,0
Temu Portugal,International Marketplaces,4/20/2024,Unresolved,1,"Claims of fraud, unfulfilled delivery and service failures.",0,0
Temu Portugal,International Marketplaces,4/12/2024,Resolved,9,"Delayed delivery, expected credit for delay not honored.",0,0
Temu Portugal,International Marketplaces,4/12/2024,Resolved,3,Failed to meet company policies for delivery and refunds.,0,0
Temu Portugal,International Marketplaces,4/10/2024,Resolved,7,"Purchased from Temu, but was charged twice for different amounts.",1,Hidden costs
Temu Portugal,International Marketplaces,4/8/2024,Resolved,10,"Issue with delivery, customer preferred drop-off location but was refused.",0,0
Temu Portugal,International Marketplaces,4/4/2024,Resolved,1,"Did not receive package, no support from company.",0,0
Temu Portugal,International Marketplaces,3/24/2024,Resolved,1,"Non-received order, no direct communication from the company.",0,0
Temu Portugal,International Marketplaces,3/22/2024,Resolved,10,"Order cancelled after payment made via MBWAY, no further response.",0,0
Temu Portugal,International Marketplaces,3/19/2024,Resolved,2,Claims of fraudulent promotions that mislead customers into false offers.,1,Bait and switch
Temu Portugal,International Marketplaces,3/12/2024,Resolved,10,"Returned items were refunded, and customer received compensation.",0,0
Temu Portugal,International Marketplaces,3/8/2024,Unresolved,1,Claims that offered coupons require a high minimum purchase that wasn't clear,0,0
Temu Portugal,International Marketplaces,3/4/2024,Resolved,1,Delay in refund after returning products via CTT.,0,0
Temu Portugal,International Marketplaces,2/26/2024,Unresolved,1,"Received damaged order, product was destroyed inside packaging.",0,0
Temu Portugal,International Marketplaces,2/25/2024,Resolved,1,"Delivery delay on order, customer highly dissatisfied.",0,0
Temu Portugal,International Marketplaces,2/22/2024,Resolved,9,"Misleading advertisement for a wig, received synthetic instead of human hair.",1,Bait and switch
Temu Portugal,International Marketplaces,2/16/2024,Unresolved,1,"Fraudulent order issue, wrong delivery to an unknown person.",0,0
Temu Portugal,International Marketplaces,2/15/2024,Resolved,10,"Ordered USB pen, received wrong item.",1,Bait and switch
Temu Portugal,International Marketplaces,2/8/2024,Resolved,7,Issues with coupons not usable as advertised.,1,Sneaking
Temu Portugal,International Marketplaces,1/27/2024,Unresolved,10,Inquiry about delivery date of an order.,0,0
Temu Portugal,International Marketplaces,1/27/2024,Unresolved,8,"Payment made but order still in cart, issue with processing.",0,0
Temu Portugal,International Marketplaces,1/19/2024,Resolved,4,Problems with returning products and refund processing.,0,0
Temu Portugal,International Marketplaces,1/11/2024,Unresolved,1,"Returned sneakers, no refund or replacement received.",0,0
Temu Portugal,International Marketplaces,1/11/2024,Resolved,6,Received damaged curtains and inaccurate refund information.,0,0
Temu Portugal,International Marketplaces,1/10/2024,Resolved,5,"Returned items, complex process and unclear refund procedure.",0,0
Temu Portugal,International Marketplaces,1/10/2024,Unresolved,1,"Received broken air fryer, stopped heating.",0,0
Temu Portugal,International Marketplaces,1/3/2024,Unresolved,1,Temu charges VAT but does not provide invoices.,1,Obstruction
Temu Portugal,International Marketplaces,1/2/2024,Unresolved,1,"Ordered a cap with a free offer, received no additional item.",1,Bait and switch
Fruugo,International Marketplaces,2/9/2024,Unresolved,2,"Order delayed, not received",0,0
Fruugo,International Marketplaces,8/28/2024,Resolved,7,"Product not received, refund not processed",0,0
Fruugo,International Marketplaces,12/8/2024,Resolved,8,Lack of information on order,0,0
